dates,pollster,client,conservative,labour,alliance,lead,year,liberal
9 June,1983 general election,1983 general election,42.4%,27.6%,25.4%,14.8%,1983,
8 Jun,Harris,The Observer,47%,26%,25%,21%,1983,
8 Jun,Gallup,The Daily Telegraph,47%,25%,26%,21%,1983,
8 Jun,Marplan,The Guardian,45.5%,26.5%,26%,19%,1983,
8 Jun,NOP,Northcliffe,46%,26%,26%,20%,1983,
8 Jun,MORI,Evening Standard,47%,25%,26%,21%,1983,
8 Jun,NOP,Daily Mail,44%,28%,26%,16%,1983,
7 Jun,Audience Selection,The Sun,46%,28%,24%,18%,1983,
7 Jun,Marplan,The Guardian,46%,23%,29%,17%,1983,
6 Jun,Audience Selection,The Sun,47%,26%,25%,21%,1983,
5 Jun,Harris,The Observer,45%,24%,28%,17%,1983,
3 Jun,Marplan,Sunday Mirror,47%,28%,23%,19%,1983,
3 Jun,NOP,The Mail on Sunday,44%,27%,27.5%,16.5%,1983,
3 Jun,Gallup,The Sunday Telegraph,47%,29%,23%,18%,1983,
2 Jun,MORI,The Sunday Times,45.5%,31.5%,22%,14%,1983,
2 Jun,MORI,Daily Express,45%,28%,25%,17%,1983,
2 Jun,Marplan,The Guardian,43%,32%,23%,11%,1983,
1 Jun,Harris,TV-Eye,47%,30%,22%,17%,1983,
1 Jun,MORI,Daily Star,46%,28%,24%,18%,1983,
31 May,Audience Selection,The Sun,44%,32%,21%,12%,1983,
31 May,Gallup,The Daily Telegraph,44%,29%,25%,15%,1983,
30 May,Audience Selection,TV-AM,47.5%,28%,23%,19.5%,1983,
30 May,Harris,The Observer,41%,30%,24%,11%,1983,
27 May,Marplan,Sunday Mirror,47%,30%,21%,17%,1983,
27 May,Gallup,The Daily Telegraph,49.5%,31%,19%,18.5%,1983,
26 May,MORI,Daily Express,49%,31.5%,18%,17.5%,1983,
26 May,Marplan,The Guardian,51%,29%,19%,22%,1983,
25 May,Harris,Thames,47.5%,32.5%,19%,15%,1983,
25 May,MORI,The Sunday Times,48%,33%,18%,15%,1983,
25 May,Audience Selection,The Sun,46%,30%,23%,16%,1983,
24 May,Gallup,The Daily Telegraph,45%,32%,21%,13%,1983,
23 May,Audience Selection,TV-AM,48%,33%,18%,15%,1983,
23 May,MORI,Daily Star,45%,32%,20%,13%,1983,
23 May,NOP,Daily Mail,51%,33%,15%,18%,1983,
23 May,Harris,The Observer,52%,33%,14%,19%,1983,
20 May,Marplan,Sunday Mirror,45%,36%,18%,9%,1983,
20 May,MORI,Daily Express,47%,34%,18%,13%,1983,
19 May,MORI,The Sunday Times,46%,37%,16%,9%,1983,
18 May,Harris,Thames,47%,30%,21%,17%,1983,
18 May,NOP,Daily Mail,45%,35%,17%,10%,1983,
17 May,Audience Selection,The Sun,49%,31%,19%,18%,1983,
17 May,Gallup,The Daily Telegraph,44%,33%,21%,11%,1983,
16 May,MORI,Daily Star,46%,33%,19%,13%,1983,
16 May,Audience Selection,TV-AM,44%,37%,17%,7%,1983,
16 May,MORI,Daily Express,46%,31%,21%,15%,1983,
13 May,The Dissolution of the 48th Parliament and campaigning officially begins,The Dissolution of the 48th Parliament and campaigning officially begins,The Dissolution of the 48th Parliament and campaigning officially begins,The Dissolution of the 48th Parliament and campaigning officially begins,The Dissolution of the 48th Parliament and campaigning officially begins,The Dissolution of the 48th Parliament and campaigning officially begins,1983,
12 May,MORI,,49%,34%,15%,15%,1983,
11 May,Harris,Thames,46%,32%,22%,14%,1983,
11 May,MORI,Daily Star,52%,31%,17%,21%,1983,
10 May,Gallup,The Daily Telegraph,46%,31%,21%,15%,1983,
9 May,MORI,,49%,31.5%,17.5%,17.5%,1983,
5 May,1983 local elections[2],1983 local elections[2],1983 local elections[2],1983 local elections[2],1983 local elections[2],1983 local elections[2],1983,
25 Apr,MORI,,45%,30%,23%,15%,1983,
23 Apr,MORI,,46%,33%,21%,13%,1983,
12 Apr,Gallup,The Daily Telegraph,43%,34%,22%,9%,1983,
11 Apr,MORI,,40.5%,35%,22.5%,5.5%,1983,
24 Mar,Darlington by-election,Darlington by-election,Darlington by-election,Darlington by-election,Darlington by-election,Darlington by-election,1983,
23 Mar,Gallup,The Daily Telegraph,43%,28%,28%,15%,1983,
21 Mar,MORI,,39.5%,28.5%,29%,10.5%,1983,
16 Mar,MORI,,42%,28%,27%,14%,1983,
9 Mar,MORI,,41%,27%,30%,11%,1983,
26 Feb,MORI,,39%,26%,34%,5%,1983,
24 Feb,Bermondsey by-election,Bermondsey by-election,Bermondsey by-election,Bermondsey by-election,Bermondsey by-election,Bermondsey by-election,1983,
23 Feb,Gallup,The Daily Telegraph,46%,32%,21%,14%,1983,
14 Feb,MORI,,43.5%,32.5%,22%,11%,1983,
9 Feb,MORI,,45%,32%,21%,13%,1983,
