dates,pollster,client,conservative,labour,alliance,lead,year
11 Jun,1987 general election,1987 general election,42.2%,30.8%,22.6%,11.4%,1987
10 Jun,Marplan,The Guardian,42%,35%,21%,7%,1987
10 Jun,MORI,The Times,44%,32%,22%,12%,1987
9 Jun,Marplan,Today,43%,35%,21%,8%,1987
9 Jun,Audience Selection,,43%,34%,21%,9%,1987
9 Jun,Gallup,The Daily Telegraph,41%,34%,23.5%,7%,1987
9 Jun,Harris,TV-AM,42%,35%,21%,7%,1987
8 Jun,Marplan,The Guardian,45%,32%,21%,13%,1987
6 Jun,Harris,TV-AM,43%,33%,22%,10%,1987
5 Jun,Marplan,Today,43%,35%,21%,8%,1987
5 Jun,Gallup,The Sunday Telegraph,41.5%,34.5%,22.5%,7%,1987
4 Jun,Marplan,The Guardian,44%,34%,20%,10%,1987
4 Jun,Harris,The Observer,44%,33%,21%,11%,1987
4 Jun,MORI,The Sunday Times,43%,32%,24%,11%,1987
3 Jun,Gallup,The Daily Telegraph,40.5%,36.5%,21.5%,4%,1987
1 Jun,Marplan,Today,44%,33%,21%,11%,1987
31 May,Harris,,42%,35%,21%,7%,1987
29 May,Harris,TV-AM,45%,32%,22%,13%,1987
29 May,Gallup,The Sunday Telegraph,41.5%,34%,22.5%,7.5%,1987
28 May,Marplan,The Guardian,44%,32%,21%,12%,1987
28 May,Harris,The Observer,41%,37%,21%,4%,1987
28 May,MORI,The Sunday Times,44%,32%,23%,12%,1987
27 May,Gallup,The Daily Telegraph,44.5%,36%,18%,8.5%,1987
26 May,Marplan,Today,42%,35%,20%,7%,1987
25 May,Harris,TV-AM,42%,37%,21%,5%,1987
24 May,MORI,,44%,31%,24%,13%,1987
22 May,Gallup,The Sunday Telegraph,42%,33%,23%,9%,1987
21 May,Marplan,The Guardian,41%,33%,21%,8%,1987
21 May,Harris,TV-AM,43%,36%,20%,7%,1987
21 May,MORI,The Sunday Times,44%,31%,24%,13%,1987
21 May,Harris,The Observer,41%,34%,22%,7%,1987
20 May,Gallup,,42%,33%,23%,9%,1987
20 May,NOP,,41%,33%,23%,8%,1987
18 May,Marplan,Today,41%,33%,24%,8%,1987
18 May,The Dissolution of the 49th Parliament and campaigning officially begins,The Dissolution of the 49th Parliament and campaigning officially begins,The Dissolution of the 49th Parliament and campaigning officially begins,The Dissolution of the 49th Parliament and campaigning officially begins,The Dissolution of the 49th Parliament and campaigning officially begins,The Dissolution of the 49th Parliament and campaigning officially begins,1987
17 May,Harris,TV-AM,42%,32%,24%,10%,1987
15 May,Harris,The Observer,42%,33%,23%,9%,1987
14 May,MORI,The Sunday Times,44%,30%,25%,14%,1987
13 May,Marplan,Daily Express,41%,30%,26%,11%,1987
12 May,Marplan,The Guardian,43%,29%,25%,14%,1987
12 May,MORI,,44%,31%,23%,13%,1987
11 May,NOP,Evening Standard,46%,28%,25%,18%,1987
11 May,Gallup,The Daily Telegraph,39%,28%,30%,9%,1987
7 May,Harris,London Weekend Television,44%,33%,21%,11%,1987
7 May,1987 local elections[2],1987 local elections[2],1987 local elections[2],1987 local elections[2],1987 local elections[2],1987 local elections[2],1987
4 May,NOP,The Independent,39%,34%,25%,5%,1987
3 May,Harris,TV-AM,44%,30%,25%,14%,1987
30 Apr,MORI,The Sunday Times,44%,31%,23%,13%,1987
27 Apr,Harris,Capital Radio,42%,31%,25%,11%,1987
27 Apr,Marplan,Today,39%,33%,24%,6%,1987
23 Apr,Harris,The Observer,42%,31%,25%,11%,1987
15 Apr,NOP,Evening Standard,44%,29%,25%,15%,1987
13 Apr,Gallup,The Daily Telegraph,40.5%,28%,29%,11.5%,1987
12 Apr,MORI,Evening Standard,42%,29%,26%,13%,1987
10 Apr,Marplan,Press Association,40%,30%,27%,10%,1987
7 Apr,Marplan,The Guardian,38%,32%,27%,6%,1987
5 Apr,Harris,TV-AM,43%,30%,26%,13%,1987
