dates,pollster,client,conservative,labour,liberal_democrat,lead,year,social_democratic_party,alliance
8 Apr,1992 general election[4],1992 general election[4],42.8%,35.2%,18.3%,7.6%,1992,,
8 Apr,NOP,The Independent,39%,42%,17%,3%,1992,,
8 Apr,Gallup,The Daily Telegraph,38.5%,38%,20%,0.5%,1992,,
8 Apr,MORI,The Times,38%,39%,20%,1%,1992,,
7 Apr,ICM,The Guardian,38%,38%,20%,Tie,1992,,
7 Apr,Harris,ITN,38%,40%,18%,2%,1992,,
6 Apr,MORI,YTV,37%,40%,20%,3%,1992,,
4 Apr,Harris,Daily Express,37%,38%,21%,1%,1992,,
4 Apr,Harris,The Observer,38%,40%,17%,2%,1992,,
3 Apr,NOP,The Mail on Sunday,35%,41%,20%,6%,1992,,
3 Apr,MORI,The Sunday Times,37%,39%,21%,2%,1992,,
3 Apr,Gallup,The Sunday Telegraph,37.5%,37.5%,21%,Tie,1992,,
3 Apr,NOP,The Independent on Sunday,38%,41%,17%,3%,1992,,
3 Apr,ICM,Press Association,36.2%,38.7%,20.4%,2.5%,1992,,
1 Apr,ICM,Sunday Express,37%,39%,19%,2%,1992,,
1 Apr,Gallup,The Daily Telegraph,38%,37.5%,20.5%,0.5%,1992,,
31 Mar,NOP,The Independent,37%,39%,19%,2%,1992,,
31 Mar,Neilsen,,39.8%,39.6%,17.2%,0.2%,1992,,
31 Mar,Harris,ITN,35%,41%,19%,6%,1992,,
30 Mar,ICM,The Guardian,37%,41%,18%,4%,1992,,
30 Mar,Harris,Daily Express,40%,39%,17%,1%,1992,,
29 Mar,MORI,The Times,35%,42%,19%,7%,1992,,
28 Mar,Audience Selection,,37%,39%,19%,2%,1992,,
28 Mar,NOP,The Independent on Sunday,39%,40%,16%,1%,1992,,
27 Mar,NOP,The Mail on Sunday,37%,41%,18%,4%,1992,,
27 Mar,MORI,The Sunday Times,38%,40%,20%,2%,1992,,
27 Mar,Harris,The Observer,40%,38%,17%,2%,1992,,
25 Mar,ICM,Sunday Express,36%,38%,20%,2%,1992,,
25 Mar,NOP,The Independent,39%,42%,14%,3%,1992,,
24 Mar,Gallup,The Daily Telegraph,40%,40.5%,16.5%,0.5%,1992,,
24 Mar,MORI,,38%,41%,17%,3%,1992,,
24 Mar,ICM,The Guardian,39%,40%,17%,1%,1992,,
23 Mar,NMR,EUR,38%,39%,19%,1%,1992,,
23 Mar,Harris,Daily Express,43%,38%,15%,5%,1992,,
23 Mar,Harris,ITN,38%,42%,16%,4%,1992,,
21 Mar,MORI,The Times,38%,41%,17%,3%,1992,,
21 Mar,NOP,The Independent on Sunday,38%,40%,16%,2%,1992,,
20 Mar,NOP,The Mail on Sunday,39%,41%,15%,2%,1992,,
20 Mar,MORI,The Sunday Times,38%,41%,19%,3%,1992,,
20 Mar,Harris,The Observer,40%,39%,17%,1%,1992,,
18 Mar,ICM,Sunday Express,37%,42%,16%,5%,1992,,
18 Mar,Gallup,The Daily Telegraph,40.5%,38.5%,18%,2%,1992,,
17 Mar,NOP,The Independent,38%,42%,17%,4%,1992,,
16 Mar,ICM,The Guardian,38%,43%,16%,5%,1992,,
16 Mar,Harris,Daily Express,41%,38%,17%,3%,1992,,
13 Mar,MORI,The Times,38%,43%,16%,5%,1992,,
13 Mar,Harris,Daily Express,39%,40%,16%,1%,1992,,
13 Mar,Harris,London Weekend Television,37%,41%,17%,4%,1992,,
13 Mar,MORI,The Sunday Times,40%,39%,16%,1%,1992,,
13 Mar,NOP,The Independent on Sunday,40%,41%,14%,1%,1992,,
12 Mar,ICM,Sunday Express,39%,40%,16%,1%,1992,,
12 Mar,MORI,The Times,38%,41%,16%,3%,1992,,
12 Mar,Harris,The Observer,40%,43%,12%,3%,1992,,
11 Mar,Gallup,,41%,38.5%,15%,2.5%,1992,,
10 Mar,NOP,The Mail on Sunday,41%,40%,15%,1%,1992,,
7 Mar,Gallup,The Daily Telegraph,37%,38%,20%,1%,1992,,
7 Mar,NOP,The Mail on Sunday,38%,41%,16%,3%,1992,,
6 Mar,ICM,The Guardian,39%,42%,15%,3%,1992,,
2 Mar,Harris,The Observer,39%,40%,14%,1%,1992,,
25 Feb,Gallup,The Daily Telegraph,38.5%,38.5%,18.5%,Tie,1992,,
25 Feb,Gallup,The Daily Telegraph,37%,37.5%,20%,0.5%,1992,,
23 Feb,MORI,The Sunday Times,39%,40%,18%,1%,1992,,
22 Feb,Audience Selection,,36%,38%,18%,2%,1992,,
18 Feb,ICM,Daily Mail,38%,41%,17%,3%,1992,,
17 Feb,Gallup,The Daily Telegraph,39%,37%,19%,2%,1992,,
14 Feb,NOP,The Independent,38%,42%,15%,4%,1992,,
13 Feb,ICM,Sunday Express,40%,39%,16%,1%,1992,,
11 Feb,Harris,The Observer,39%,40%,15%,1%,1992,,
8 Feb,Gallup,The Daily Telegraph,40%,37.5%,17.5%,2.5%,1992,,
7 Feb,ICM,The Guardian,40%,40%,16%,Tie,1992,,
6 Feb,NOP,The Independent on Sunday,38%,42%,15%,4%,1992,,
3 Feb,Harris,Daily Express,39%,40%,17%,1%,1992,,
28 Jan,Gallup,The Daily Telegraph,42.5%,37.5%,14%,5%,1992,,
26 Jan,Gallup,The Daily Telegraph,38%,39.5%,17.5%,1.5%,1992,,
25 Jan,Audience Selection,,40%,40%,15%,Tie,1992,,
23 Jan,ICM,Daily Mail,41%,40%,13%,1%,1992,,
21 Jan,Harris,Daily Express,41%,40%,14%,1%,1992,,
21 Jan,Gallup,The Daily Telegraph,40%,38%,16.5%,2%,1992,,
17 Jan,MORI,The Sunday Times,42%,39%,16%,3%,1992,,
16 Jan,ICM,Sunday Express,41%,42%,14%,1%,1992,,
13 Jan,Harris,The Observer,42%,43%,13%,1%,1992,,
13 Jan,Gallup,The Daily Telegraph,42%,37.5%,16%,4.5%,1992,,
11 Jan,NOP,The Independent,40%,43%,13%,3%,1992,,
8 Jan,ICM,The Guardian,42%,41%,12%,1%,1992,,
8 Jan,NOP,The Independent on Sunday,40%,45%,12%,5%,1992,,
27 Dec,MORI,The Sunday Times,38%,44%,14%,6%,1991,,
15 Dec,Gallup,The Sunday Telegraph,42%,41.5%,13%,0.5%,1991,,
13 Dec,NOP,The Independent on Sunday,41%,40%,14%,1%,1991,,
7 Dec,ICM,The Guardian,39%,42%,14%,3%,1991,,
5 Dec,MORI,The Times,40%,43%,12%,3%,1991,,
2 Dec,Gallup,The Daily Telegraph,39.5%,37%,19%,2.5%,1991,,
2 Dec,Audience Selection,,39%,40%,16%,1%,1991,,
25 Nov,MORI,The Sunday Times,40%,42%,15%,2%,1991,,
25 Nov,NOP,The Independent,40%,41%,15%,1%,1991,,
23 Nov,MORI,The Sunday Times,41%,43%,13%,2%,1991,,
23 Nov,ICM,Daily Mail,39%,41%,16%,2%,1991,,
14 Nov,Harris,The Observer,39%,44%,13%,5%,1991,,
9 Nov,ICM,The Guardian,41%,43%,13%,2%,1991,,
7 Nov,"Hemsworth, Kincardine and Deeside and Langbaurgh by-elections","Hemsworth, Kincardine and Deeside and Langbaurgh by-elections","Hemsworth, Kincardine and Deeside and Langbaurgh by-elections","Hemsworth, Kincardine and Deeside and Langbaurgh by-elections","Hemsworth, Kincardine and Deeside and Langbaurgh by-elections","Hemsworth, Kincardine and Deeside and Langbaurgh by-elections",1991,,
4 Nov,Gallup,The Daily Telegraph,36%,44%,15.5%,8%,1991,,
1 Nov,MORI,The Sunday Times,42%,41%,13%,1%,1991,,
28 Oct,Audience Selection,,37%,42%,16%,5%,1991,,
27 Oct,Harris,The Observer,39%,45%,12%,6%,1991,,
26 Oct,ICM,Daily Mail,40%,42%,13%,2%,1991,,
21 Oct,MORI,The Sunday Times,39%,45%,12%,6%,1991,,
21 Oct,NOP,The Independent,39%,45%,12%,6%,1991,,
17 Oct,Harris,The Observer,39%,46%,12%,7%,1991,,
12 Oct,ICM,The Guardian,41%,43%,12%,2%,1991,,
5 Oct,NOP,The Independent on Sunday,39%,46%,13%,7%,1991,,
4 Oct,Gallup,The Daily Telegraph,39.5%,41.5%,15%,2%,1991,,
3 Oct,ICM,Press Association,40%,42%,13%,2%,1991,,
30 Sep,Gallup,The Daily Telegraph,42%,38%,15%,4%,1991,,
30 Sep,Audience Selection,,41%,37%,14%,4%,1991,,
28 Sep,ICM,Daily Mail,40%,42%,14%,2%,1991,,
26 Sep,Harris,The Observer,40%,41%,13%,1%,1991,,
26 Sep,NOP,The Mail on Sunday,40%,39%,16%,1%,1991,,
24 Sep,MORI,The Sunday Times,39%,39%,17%,Tie,1991,,
23 Sep,Gallup,The Sunday Telegraph,40%,38.5%,16%,1.5%,1991,,
23 Sep,NOP,The Independent,39%,42%,14%,3%,1991,,
20 Sep,MORI,,39%,43%,14%,4%,1991,,
14 Sep,ICM,The Guardian,39%,39%,17%,Tie,1991,,
13 Sep,ICM,Sunday Express,41%,37%,17%,4%,1991,,
12 Sep,Harris,The Observer,43%,38%,16%,5%,1991,,
7 Sep,NOP,The Independent on Sunday,41%,39%,15%,2%,1991,,
2 Sep,Gallup,The Daily Telegraph,39.5%,35%,19.5%,4.5%,1991,,
27 Aug,MORI,The Sunday Times,42%,40%,14%,2%,1991,,
