dates,pollster_client,conservative,labour,liberal_democrat,lead,year
1 May,1997 general election,30.7%,43.2%,16.8%,12.5%,1997
30 Apr,ICM/Guardian,33%,43%,18%,10%,1997
30 Apr,Gallup/Telegraph,33%,46%,16%,13%,1997
30 Apr,MORI/Evening Standard,29%,47%,19%,18%,1997
29 Apr,Gallup/Telegraph,31%,51%,13%,20%,1997
29 Apr,Harris/Independent,31%,48%,15%,17%,1997
29 Apr,MORI/Times,27%,51%,15%,24%,1997
29 Apr,NOP/Reuters,28%,50%,14%,22%,1997
28 Apr,Gallup/Channel 4,31%,49%,14%,18%,1997
28 Apr,Gallup/Telegraph,29%,51%,13%,22%,1997
27 Apr,Gallup/Telegraph,30%,49%,14%,19%,1997
26 Apr,Gallup/Sunday Telegraph,31%,48%,13%,17%,1997
25 Apr,Gallup/Telegraph,32%,48%,14%,16%,1997
25 Apr,ICM/Observer,32%,47%,16%,15%,1997
25 Apr,NOP/Sunday Times,29%,47%,16%,18%,1997
24 Apr,Gallup/Telegraph,32%,48%,12%,16%,1997
24 Apr,MORI/Independent on Sunday,29%,53%,12%,24%,1997
23 Apr,Gallup/Telegraph,30%,50%,12%,20%,1997
22 Apr,Gallup/Channel 4,31%,50%,13%,19%,1997
22 Apr,Gallup/Telegraph,30%,51%,12%,21%,1997
22 Apr,MORI/Times,27%,48%,17%,21%,1997
21 Apr,Gallup/Telegraph,32%,48%,12%,16%,1997
21 Apr,ICM/Guardian,37%,42%,14%,5%,1997
20 Apr,Gallup/Telegraph,32%,48%,13%,16%,1997
20 Apr,Harris/Independent,30%,48%,15%,18%,1997
19 Apr,Gallup/Sunday Telegraph,31%,50%,13%,19%,1997
18 Apr,Gallup/Telegraph,32%,50%,13%,18%,1997
18 Apr,ICM/Observer,31%,48%,15%,17%,1997
18 Apr,NOP/Sunday Times,29%,47%,17%,18%,1997
17 Apr,Gallup/Telegraph,31%,50%,12%,19%,1997
16 Apr,Gallup/Telegraph,31%,50%,11%,19%,1997
15 Apr,Gallup/Telegraph,30%,51%,12%,21%,1997
15 Apr,MORI/Times,32%,49%,13%,17%,1997
14 Apr,Gallup/Telegraph,32%,49%,14%,17%,1997
14 Apr,Harris/Independent,31%,49%,13%,18%,1997
14 Apr,ICM/Guardian,31%,45%,19%,14%,1997
14 Apr,MORI/Evening Standard,29%,50%,15%,21%,1997
13 Apr,Gallup/Telegraph,30%,50%,14%,20%,1997
12 Apr,Gallup/Sunday Telegraph,31%,50%,13%,19%,1997
12 Apr,Gallup/Telegraph,32%,49%,14%,17%,1997
11 Apr,Gallup/Telegraph,32%,52%,11%,20%,1997
11 Apr,ICM/Observer,32%,48%,15%,16%,1997
11 Apr,NOP/Sunday Times,28%,49%,16%,21%,1997
10 Apr,Gallup/Telegraph,30%,52%,11%,22%,1997
9 Apr,Gallup/Telegraph,29%,53%,12%,24%,1997
8 Apr,Gallup/Telegraph,32%,51%,11%,19%,1997
8 Apr,MORI/Times,34%,49%,12%,15%,1997
7 Apr,Gallup/Telegraph,33%,53%,10%,20%,1997
7 Apr,Harris/Independent,28%,54%,12%,26%,1997
7 Apr,ICM/Guardian,34%,46%,15%,12%,1997
6 Apr,Gallup/Telegraph,30%,55%,10%,25%,1997
4 Apr,ICM/Observer,30%,50%,14%,20%,1997
4 Apr,MORI/Independent on Sunday,30%,55%,9%,25%,1997
4 Apr,NOP/Reuters,29%,52%,11%,23%,1997
4 Apr,NOP/Sunday Times,26%,53%,12%,27%,1997
3 Apr,Gallup/Channel 4,30%,54%,11%,24%,1997
3 Apr,Harris/Central News,29%,55%,11%,26%,1997
1 Apr,MORI/Times,28%,55%,11%,27%,1997
31 Mar,Harris/Independent,28%,52%,14%,24%,1997
31 Mar,ICM/Guardian,32%,46%,17%,14%,1997
28 Mar,Gallup/Telegraph,31%,52%,11%,21%,1997
24 Mar,Harris/Independent,28%,56%,10%,28%,1997
24 Mar,MORI/Times,29%,50%,14%,21%,1997
21 Mar,Gallup/Sunday Telegraph,27%,56%,11%,29%,1997
17 Mar,Gallup/Telegraph,28.5%,56.5%,9.5%,28%,1997
17 Mar,Harris/Independent,27%,58%,10%,31%,1997
14 Mar,NOP/Reuters,29%,54%,11%,25%,1997
13 Mar,NOP/Sunday Times,26%,54%,13%,28%,1997
10 Mar,Harris/Independent,26%,53%,14%,27%,1997
9 Mar,ORB/Ladbrokes,26%,56%,12%,30%,1997
4 Mar,Gallup/Telegraph,28%,54%,12.5%,26%,1997
3 Mar,Harris/Independent,30%,55%,10%,25%,1997
2 Mar,ICM/Guardian,30%,48%,16%,18%,1997
24 Feb,MORI/Times,31%,52%,11%,21%,1997
21 Feb,NOP/Reuters,29%,51%,14%,22%,1997
13 Feb,NOP/Sunday Times,30%,49%,13%,19%,1997
4 Feb,Gallup/Telegraph,34%,49%,12%,15%,1997
2 Feb,ICM/Guardian,32%,48%,15%,16%,1997
28 Jan,MORI/Times,30%,55%,11%,25%,1997
16 Jan,NOP/Sunday Times,31%,54%,12%,23%,1997
15 Jan,Gallup/Telegraph,32.5%,50.5%,10.5%,18%,1997
5 Jan,ICM/Guardian,31%,48%,16%,17%,1997
5 Jan,ORB/Ladbrokes,30%,53%,12%,23%,1997
14 Dec,ICM/Observer,30%,50%,14%,20%,1996
9 Dec,MORI/Times,30%,51%,13%,21%,1996
2 Dec,Gallup/Telegraph,22%,59%,12%,37%,1996
1 Dec,ICM/Guardian,31%,50%,15%,19%,1996
29 Nov,MORI/Euro,30%,52%,13%,22%,1996
14 Nov,NOP/Sunday Times,26%,56%,13%,30%,1996
11 Nov,MORI/Times,33%,50%,12%,17%,1996
5 Nov,Gallup/Telegraph,28%,55%,11%,17%,1996
2 Nov,ICM/Guardian,34%,47%,15%,13%,1996
1 Nov,MORI/Mail on Sunday,30%,54%,12%,24%,1996
28 Oct,MORI/Times,28%,56%,12%,18%,1996
21 Oct,MORI,27%,54%,12%,17%,1996
17 Oct,NOP/Sunday Times,33%,47%,14%,24%,1996
14 Oct,MORI,30%,53%,12%,23%,1996
7 Oct,MORI,29%,54%,13%,25%,1996
5 Oct,ICM/Guardian,31%,49%,16%,18%,1996
4 Oct,Gallup/Telegraph,24%,57%,15%,33%,1996
3 Oct,NOP/Sunday Times,25%,57%,13%,32%,1996
1 Oct,Gallup/Telegraph,27.5%,52%,15%,24.5%,1996
24 Sep,Gallup/Telegraph,27%,54%,13.5%,27%,1996
23 Sep,MORI/Times,29%,52%,14%,23%,1996
19 Sep,NOP/Sunday Times,31%,50%,14%,19%,1996
9 Sep,MORI,28%,56%,12%,28%,1996
7 Sep,ICM/Guardian,32%,47%,16%,15%,1996
3 Sep,Gallup/Telegraph,25.5%,58.5%,11%,33%,1996
25 Aug,MORI/Times,30%,51%,13%,27%,1996
15 Aug,NOP/Sunday Times,28%,54%,14%,26%,1996
12 Aug,MORI,30%,52%,13%,22%,1996
