dates,pollster,client,sample_size,labour,conservative,liberal_democrat,others,lead,year
7 Jun,2001 general election[4],2001 general election[4],–,40.7%,31.7%,18.3%,9.3%,9%,2001
6 Jun,Gallup,The Daily Telegraph,2399,47%,30%,18%,?,17%,2001
5–6 Jun,MORI,The Times,1906,45%,30%,18%,?,15%,2001
2–4 Jun,ICM,The Guardian,1009,43%,32%,19%,6%,11%,2001
2–3 Jun,ICM,Evening Standard,1381,47%,30%,18%,?,17%,2001
3 Jun,Rasmussen,The Independent,?,44%,33%,16%,?,11%,2001
31 May – 2 Jun,MORI,The Sunday Telegraph,1070,50%,27%,17%,?,23%,2001
31 May – 1 Jun,ICM,The Observer,1005,46%,34%,15%,?,12%,2001
31 May – 1 Jun,NOP,The Sunday Times,1105,47%,30%,16%,?,17%,2001
30 May – 1 Jun,ICM,Channel 4,1007,43%,31%,19%,?,12%,2001
29 May,MORI,The Times,1013,48%,30%,16%,?,18%,2001
28–29 May,Gallup,The Daily Telegraph,1462,47%,31%,16%,?,16%,2001
26–28 May,ICM,The Guardian,1000,47%,28%,17%,8%,19%,2001
27 May,Rasmussen,The Independent,?,44%,32%,17%,?,12%,2001
24–25 May,NOP,The Sunday Times,?,49%,30%,14%,?,19%,2001
21–23 May,Gallup,The Daily Telegraph,1000,48%,32%,15%,?,16%,2001
22 May,MORI,Times,1066,52%,27%,16%,?,25%,2001
22 May,Rasmussen,The Independent,?,44%,32%,16%,?,12%,2001
19–21 May,ICM,The Guardian,1000,45%,32%,17%,7%,13%,2001
20 May,Gallup,BES,?,55%,25%,14%,?,30%,2001
17–18 May,NOP,The Sunday Times,1107,49%,30%,14%,?,19%,2001
15 May,MORI,The Times,1019,54%,28%,12%,6%,26%,2001
14–15 May,Gallup,The Daily Telegraph,1004,48%,32%,13%,7%,16%,2001
13–14 May,ICM,The Guardian,1004,46%,31%,16%,7%,15%,2001
14 May,Gallup,BES,?,53%,32%,11%,?,21%,2001
10–14 May,MORI,The Economist,1846,54%,26%,14%,6%,28%,2001
14 May,Parliament dissolved and official campaign period begins[5],Parliament dissolved and official campaign period begins[5],Parliament dissolved and official campaign period begins[5],Parliament dissolved and official campaign period begins[5],Parliament dissolved and official campaign period begins[5],Parliament dissolved and official campaign period begins[5],Parliament dissolved and official campaign period begins[5],Parliament dissolved and official campaign period begins[5],2001
11–13 May,ICM,Evening Standard,1437,48%,32%,14%,6%,16%,2001
13 May,Rasmussen,The Independent,1004,46%,32%,13%,9%,14%,2001
10–12 May,MORI,The Sunday Telegraph,1030,51%,31%,13%,5%,20%,2001
10–11 May,ICM,The Observer,1011,48%,32%,15%,5%,16%,2001
10–11 May,NOP,The Sunday Times,1003,49%,32%,13%,6%,17%,2001
2–8 May,Gallup,The Daily Telegraph,1000,49%,32%,13%,6%,17%,2001
8 May,MORI,The Times,1046,54%,30%,13%,?,24%,2001
4–7 May,NOP,Daily Express,1000,51%,31%,13%,6%,20%,2001
1–6 May,NOP,Channel 4,1600,49%,34%,11%,?,15%,2001
26 Apr – 2 May,NOP,Channel 4,~2000,51%,29%,13%,5%,22%,2001
