pollster,client,dates,sample_size,labour,conservative,liberal_democrat,others,lead,year,pollster_client
2010 general election,2010 general election,6 May,–,29.7%,36.9%,23.6%,9.8%,7.2%,2010,
Ipsos MORI,Evening Standard,5 May,1216,29%,36%,27%,8%,7%,2010,
YouGov,The Sun,4–5 May,6483,28%,35%,28%,9%,7%,2010,
Harris Interactive,Daily Mail,4–5 May,4014,29%,35%,27%,7%,6%,2010,
Populus,The Times,4–5 May,2505,28%,37%,27%,8%,9%,2010,
Angus Reid Public Opinion,PoliticalBetting.com,4–5 May,2283,24%,36%,29%,11%,7%,2010,
Opinium[permanent dead link],Daily Express,4–5 May,1383,27%,35%,26%,12%,8%,2010,
ComRes,Multiple ITV NewsThe Independent,4–5 May,1025,28%,37%,28%,7%,9%,2010,
ICM[permanent dead link],The Guardian,3–4 May,1527,28%,36%,26%,10%,8%,2010,
YouGov,The Sun,3–4 May,1461,30%,35%,24%,11%,5%,2010,
TNS-BMRB,,29 Apr–4 May,1864,27%,33%,29%,11%,4%,2010,
Harris Interactive,The Metro,28 Apr–4 May,786,26%,36%,28%,10%,8%,2010,
ComRes,Multiple ITV NewsThe Independent,2–3 May,1024,29%,37%,26%,8%,8%,2010,
YouGov,The Sun,2–3 May,1455,28%,35%,28%,9%,7%,2010,
Opinium[permanent dead link],Daily Express,30 Apr – 3 May,1870,28%,33%,27%,12%,5%,2010,
YouGov[permanent dead link],The Sun,1–2 May,1475,28%,34%,29%,9%,5%,2010,
ComRes,Multiple ITV NewsThe Independent,1–2 May,1024,29%,37%,26%,8%,8%,2010,
ICM[permanent dead link],The Guardian,30 Apr – 2 May,1026,28%,33%,28%,12%,5%,2010,
YouGov[permanent dead link],The Sunday Times,30 Apr – 1 May,1483,27%,35%,28%,10%,7%,2010,
ComRes,Multiple The IndependentSunday Mirror,30 Apr – 1 May,1019,28%,38%,25%,9%,10%,2010,
YouGov[permanent dead link],The Sun,30 Apr,1412,28%,34%,28%,10%,6%,2010,
ICM,The Sunday Telegraph,30 Apr,1019,29%,36%,27%,8%,7%,2010,
Angus Reid Public Opinion,Sunday Express,29–30 Apr,1874,23%,35%,29%,13%,6%,2010,
,,29 Apr,The third Prime Ministerial debate,The third Prime Ministerial debate,The third Prime Ministerial debate,The third Prime Ministerial debate,The third Prime Ministerial debate,The third Prime Ministerial debate,2010,
YouGov,The Sun,28–29 Apr,1623,27%,34%,28%,11%,6%,2010,
YouGov,The Sun,27–28 Apr,1530,27%,34%,31%,8%,3%,2010,
YouGov[permanent dead link],The Sun,26–27 Apr,1598,29%,33%,28%,10%,4%,2010,
ComRes,Multiple ITV NewsThe Independent,26–27 Apr,1006,29%,36%,26%,9%,7%,2010,
Populus,The Times,26–27 Apr,1510,27%,36%,28%,8%,8%,2010,
