dates,pollster_client,sample_size,conservative,labour,liberal_democrat,united_kingdom_independence_party,green,others,lead,year
21–27 Dec,Opinium/The Observer,1965,29%,39%,8%,15%,4%,5%,10%,2012
19–23 Dec,ICM/The Guardian[permanent dead link][2],1002,32%,40%,13%,7%,3%,5%,8%,2012
20–21 Dec,YouGov/Sunday Times,1661,33%,43%,10%,8%,1%,5%,10%,2012
19–20 Dec,YouGov/The Sun,1923,33%,41%,11%,10%,2%,4%,8%,2012
18–19 Dec,YouGov/The Sun,1556,30%,43%,11%,10%,2%,4%,13%,2012
17–18 Dec,YouGov/The Sun,1816,32%,43%,9%,10%,2%,4%,11%,2012
16–17 Dec,YouGov/The Sun,1633,31%,43%,9%,11%,2%,3%,12%,2012
13–17 Dec,TNS BMRB,1190,30%,43%,7%,12%,4%,4%,13%,2012
15–16 Dec,ComRes/The Independent on Sunday; The Sunday Mirror,2002,28%,39%,9%,14%,4%,6%,11%,2012
14–16 Dec,Populus/The Times,1512,28%,41%,10%,11%,3%,7%,13%,2012
13–14 Dec,YouGov/The Sunday Times,1794,33%,45%,9%,8%,2%,3%,12%,2012
12–13 Dec,YouGov/The Sun,1736,33%,43%,9%,10%,2%,4%,10%,2012
11–13 Dec,Opinium/The Observer,1968,29%,39%,8%,14%,4%,6%,10%,2012
11–12 Dec,YouGov/The Sun,1805,31%,44%,12%,9%,2%,3%,13%,2012
10–11 Dec,YouGov/The Sun,1897,31%,43%,10%,9%,2%,4%,12%,2012
9–10 Dec,YouGov/The Sun,1729,33%,42%,10%,8%,2%,5%,9%,2012
8–10 Dec,Ipsos MORI/Evening Standard,1023,35%,44%,9%,7%,3%,2%,9%,2012
6–10 Dec,TNS BMRB,1171,26%,41%,8%,16%,3%,6%,15%,2012
6–7 Dec,YouGov/The Sunday Times,1779,33%,42%,10%,9%,2%,4%,9%,2012
5–6 Dec,YouGov/The Sun,1899,32%,42%,10%,9%,2%,6%,10%,2012
4–5 Dec,YouGov/The Sun,1784,32%,44%,9%,10%,2%,3%,12%,2012
4 Dec,Angus Reid Public Opinion,2005,28%,42%,10%,11%,3%,6%,14%,2012
3–4 Dec,YouGov/The Sun,1743,30%,44%,11%,10%,1%,4%,14%,2012
2–3 Dec,YouGov/The Sun,1584,31%,43%,11%,10%,2%,3%,12%,2012
29 Nov–3 Dec,TNS BMRB,1172,28%,40%,10%,12%,2%,8%,12%,2012
30 Nov–1 Dec,YouGov/The Sunday Times,1773,31%,44%,10%,10%,2%,4%,13%,2012
29 Nov,"By-elections in Croydon North, Middlesbrough and Rotherham.","By-elections in Croydon North, Middlesbrough and Rotherham.","By-elections in Croydon North, Middlesbrough and Rotherham.","By-elections in Croydon North, Middlesbrough and Rotherham.","By-elections in Croydon North, Middlesbrough and Rotherham.","By-elections in Croydon North, Middlesbrough and Rotherham.","By-elections in Croydon North, Middlesbrough and Rotherham.","By-elections in Croydon North, Middlesbrough and Rotherham.","By-elections in Croydon North, Middlesbrough and Rotherham.",2012
28–29 Nov,YouGov/The Sun,1854,32%,42%,10%,10%,2%,5%,10%,2012
27–29 Nov,Opinium,1949,29%,38%,9%,13%,3%,8%,9%,2012
27–28 Nov,YouGov/The Sun,1842,32%,44%,11%,8%,2%,4%,12%,2012
26–27 Nov,YouGov/The Sun,1910,31%,43%,9%,11%,2%,5%,12%,2012
25–26 Nov,YouGov/The Sun,1624,34%,43%,9%,8%,1%,5%,9%,2012
22–26 Nov,TNS BMRB,1212,31%,41%,8%,10%,3%,7%,10%,2012
22–23 Nov,YouGov/The Sunday Times,1812,33%,44%,9%,8%,2%,4%,11%,2012
21–22 Nov,YouGov/The Sun,1808,31%,43%,10%,9%,2%,5%,12%,2012
20–21 Nov,YouGov/The Sun,1691,33%,41%,9%,10%,3%,4%,8%,2012
19–20 Nov,YouGov/The Sun,1627,33%,42%,10%,8%,2%,5%,9%,2012
18–19 Nov,YouGov/The Sun,1552,32%,42%,9%,9%,2%,6%,10%,2012
16–18 Nov,ICM/The Guardian[permanent dead link][2],1001,32%,40%,13%,7%,2%,6%,8%,2012
15–16 Nov,YouGov/The Sunday Times,1893,33%,44%,9%,8%,2%,4%,11%,2012
14–16 Nov,TNS BMRB,1156,31%,39%,11%,7%,4%,8%,8%,2012
