dates,pollster_client,sample_size,conservative,labour,united_kingdom_independence_party,liberal_democrat,scottish_national_party,green,others,lead,year
8 June,General Election results (GB only) [2],–,43.5%,41.0%,1.9%,7.6%,3.1%,1.7%,1.2%,2.5%,2017
6–7 Jun,Ipsos MORI/Evening Standard,1291,44%,36%,4%,7%,5%,2%,2%,8%,2017
6–7 Jun,BMG/The Herald,1199,46%,33%,5%,8%,4%,3%,2%,13%,2017
6–7 Jun,Survation,2798,41%,40%,2%,8%,4%,2%,2%,1%,2017
6–7 Jun,ICM/The Guardian,1532,46%,34%,5%,7%,5%,2%,1%,12%,2017
5–7 Jun,YouGov/The Times[a],2130,42%[a],35%[a],5%,10%,5%[b],2%,1%,7%[a],2017
5–7 Jun,ComRes/Independent,2051,44%,34%,5%,9%,4%,2%,1%,10%,2017
4–7 Jun,Qriously/Wired,2213,39%,41%,4%,6%,3%,7%,7%,2%,2017
2–7 Jun,Panelbase,3018,44%,36%,5%,7%,4%,2%,2%,8%,2017
1–7 Jun,Kantar Public,2159,43%,38%,4%,7%,4%,2%,2%,5%,2017
4–6 Jun,Opinium,3002,43%,36%,5%,8%,5%,2%,1%,7%,2017
2–4 Jun,ICM/The Guardian,2000,45%,34%,5%,8%,4%,3%,1%,11%,2017
3 Jun,"London terror attack, national campaigning partially suspended on 4 June[5]","London terror attack, national campaigning partially suspended on 4 June[5]","London terror attack, national campaigning partially suspended on 4 June[5]","London terror attack, national campaigning partially suspended on 4 June[5]","London terror attack, national campaigning partially suspended on 4 June[5]","London terror attack, national campaigning partially suspended on 4 June[5]","London terror attack, national campaigning partially suspended on 4 June[5]","London terror attack, national campaigning partially suspended on 4 June[5]","London terror attack, national campaigning partially suspended on 4 June[5]","London terror attack, national campaigning partially suspended on 4 June[5]",2017
3 Jun,Survation/Mail on Sunday,1049,40%,39%,5%,8%,4%,5%,5%,1%,2017
2–3 Jun,Survation/Good Morning Britain[c],1103,41%,40%,3%,6%,4%,1%,4%,1%,2017
1–2 Jun,YouGov/Sunday Times,1989,42%,38%,4%,9%,4%[b],2%,0%,4%,2017
31 May–2 Jun,ICM/The Sun on Sunday,2051,45%,34%,5%,9%,4%,3%,1%,11%,2017
31 May–2 Jun,"ComRes/Sunday Mirror, Independent on Sunday",2038,47%,35%,4%,8%,3%,1%,1%,12%,2017
31 May–1 Jun,Norstat,1013,39%,35%,6%,8%,*,3%,9%,4%,2017
31 May–1 Jun,ORB/Telegraph,1656,45%,36%,4%,8%,7%,7%,7%,9%,2017
30 May–1 Jun,Ipsos MORI/Evening Standard[c],1046,45%,40%,2%,7%,3%[b],2%,1%,5%,2017
26 May–1 Jun,Panelbase,1224,44%,36%,5%,7%,5%,2%,1%,8%,2017
30–31 May,Opinium/Observer,2006,43%,37%,5%,6%,5%,2%,1%,6%,2017
30–31 May,YouGov/The Times,1875,42%,39%,4%,7%,4%[b],2%,1%,3%,2017
25–30 May,Kantar Public,1199,43%,33%,4%,11%,4%,3%,1%,10%,2017
26–29 May,ICM/The Guardian,2002,45%,33%,5%,8%,4%,3%,2%,12%,2017
26–29 May,Qriously,1153,43%,39%,5%,6%,3%,2%,3%,4%,2017
26–27 May,Survation/Good Morning Britain[c],1009,43%,37%,4%,8%,2%,1%,4%,6%,2017
25–26 May,YouGov/Sunday Times,2003,43%,36%,4%,9%,4%[b],2%,1%,7%,2017
24–26 May,ICM/The Sun on Sunday,2044,46%,32%,5%,8%,4%,2%,1%,14%,2017
24–26 May,"ComRes/Sunday Mirror, Independent on Sunday",2024,46%,34%,5%,8%,4%,2%,1%,12%,2017
24–25 May,ORB/Sunday Telegraph,1556,44%,38%,5%,7%,4%,2%,2%,6%,2017
24–25 May,YouGov/The Times,2052,43%,38%,4%,10%,5%[b],1%,0%,5%,2017
23–24 May,Opinium/Observer,2002,45%,35%,5%,7%,5%,2%,1%,10%,2017
19–23 May,Panelbase/The Sunday Times,1019,48%,33%,4%,7%,5%,2%,1%,15%,2017
22 May,"Manchester Arena bombing, national campaigning suspended 23–24 May","Manchester Arena bombing, national campaigning suspended 23–24 May","Manchester Arena bombing, national campaigning suspended 23–24 May","Manchester Arena bombing, national campaigning suspended 23–24 May","Manchester Arena bombing, national campaigning suspended 23–24 May","Manchester Arena bombing, national campaigning suspended 23–24 May","Manchester Arena bombing, national campaigning suspended 23–24 May","Manchester Arena bombing, national campaigning suspended 23–24 May","Manchester Arena bombing, national campaigning suspended 23–24 May","Manchester Arena bombing, national campaigning suspended 23–24 May",2017
18–22 May,Kantar Public,1200,42%,34%,4%,9%,4%,4%,2%,8%,2017
19–21 May,ICM/The Guardian,2004,47%,33%,4%,9%,4%,2%,1%,14%,2017
19–20 May,Survation/Good Morning Britain[c],1034,43%,34%,4%,8%,3%,2%,5%,9%,2017
19–20 May,Survation/Mail on Sunday,1017,46%,34%,3%,8%,4%,1%,3%,12%,2017
18–19 May,YouGov/Sunday Times,1925,44%,35%,3%,9%,5%[b],2%,1%,9%,2017
17–18 May,ORB/Sunday Telegraph,1551,46%,34%,7%,7%,4%,2%,2%,12%,2017
16–17 May,Opinium/Observer,2003,46%,33%,5%,8%,5%,2%,1%,13%,2017
16–17 May,YouGov/The Times,1861,45%,32%,6%,8%,5%,2%,1%,13%,2017
15–17 May,Ipsos MORI/Evening Standard,1053,49%,34%,2%,7%,6%,3%,*,15%,2017
12–15 May,Panelbase,1026,47%,33%,5%,7%,5%,3%,*,14%,2017
11–15 May,Kantar Public,1201,47%,29%,6%,8%,4%,4%,2%,18%,2017
12–14 May,ICM/The Guardian,2030,48%,28%,6%,10%,4%,3%,1%,20%,2017
3–14 May,GfK/Business Insider,1952,48%,28%,5%,7%,6%,3%,2%,20%,2017
