pollster_client,dates,area,sample_size,conservative,labour,liberal_democrat,scottish_national_party,plaid_cymru,green,brexit_party,united_kingdom_independence_party,change_uk,others,lead,year
2019 general election,12 Dec,UK,–,43.6%,32.1%,11.6%,3.9%,0.5%,2.7%,2.0%,0.1%,0.0%,3.1%,11.5%,2019
2019 general election,12 Dec,GB,–,44.7%,33.0%,11.8%,4.0%,0.5%,2.8%,2.1%,0.1%,0.0%,1.0%,11.7%,2019
Survation,10–11 Dec,GB,2395,45%,34%,9%,4%,1%,3%,3%,–,–,1%,11%,2019
Panelbase,10–11 Dec,GB,3174,43%,34%,11%,4%,0%,3%,4%,–,–,–,9%,2019
Opinium,10–11 Dec,GB,3005,45%,33%,12%,4%,0%,2%,2%,–,–,1%,12%,2019
Ipsos MORI/Evening Standard,9–11 Dec,GB,2213,44%,33%,12%,–,–,3%,2%,–,–,6%,11%,2019
Deltapoll,9–11 Dec,GB,1818,45%,35%,10%,4%,0%,3%,4%,–,–,0%,10%,2019
Kantar,9–11 Dec,GB,2815,44%,32%,13%,4%,0%,3%,3%,–,–,1%,12%,2019
BMG/The Independent,6–11 Dec,GB,1660,41%,32%,14%,–,–,3%,4%,–,–,6%,9%,2019
SavantaComRes/The Daily Telegraph,9–10 Dec,GB,2051,41%,36%,12%,4%,–,2%,3%,–,–,2%,5%,2019
Number Cruncher Politics/Bloomberg,8–10 Dec,GB,1009,43%,33%,12%,4%,1%,3%,3%,–,–,1%,10%,2019
YouGov (MRP),4–10 Dec,GB,105612,43%,34%,12%,3%,0%,3%,3%,–,–,2%,9%,2019
FocalData (MRP),27 Nov–10 Dec,GB,21213,42%,34%,14%,3%,1%,3%,3%,–,–,1%,8%,2019
ICM Research/Reuters,6–9 Dec,GB,2011,42%,36%,12%,3%,0%,2%,3%,0%,–,1%,6%,2019
SavantaComRes/Remain United[a],6–8 Dec,GB,6073,43%,36%,12%,4%,0%,2%,3%,–,–,1%,7%,2019
Qriously,5–8 Dec,UK,2222,43%,30%,12%,2%,–,4%,3%,–,–,5%,13%,2019
Survation/Good Morning Britain,5–7 Dec,UK,1012,45%,31%,11%,3%,1%,2%,4%,–,–,3%,14%,2019
Deltapoll/The Mail on Sunday,5–7 Dec,GB,1533,44%,33%,11%,4%,0%,2%,3%,1%,–,1%,11%,2019
YouGov/The Sunday Times,5–6 Dec,GB,1680,43%,33%,13%,4%,0%,3%,3%,–,–,1%,10%,2019
BMG/The Independent,4–6 Dec,GB,1542,41%,32%,14%,3%,0%,4%,4%,0%,0%,1%,9%,2019
Opinium/The Observer,4–6 Dec,GB,2002,46%,31%,13%,4%,0%,2%,3%,–,–,1%,15%,2019
Panelbase,4–6 Dec,GB,2033,43%,34%,13%,4%,1%,2%,3%,–,–,0%,9%,2019
SavantaComRes/The Sunday Telegraph,4–5 Dec,GB,2034,41%,33%,12%,4%,–,2%,3%,–,–,5%,8%,2019
SavantaComRes/Remain United[a],2–5 Dec,GB,2005,42%,36%,11%,3%,–,2%,4%,–,–,1%,6%,2019
Ipsos MORI/Evening Standard,2–4 Dec,GB,1545,44%,32%,13%,4%,1%,3%,2%,–,–,1%,12%,2019
SavantaComRes/The Daily Telegraph,2–3 Dec,GB,2041,42%,32%,12%,4%,–,2%,3%,–,–,5%,10%,2019
YouGov/The Times/Sky News,2–3 Dec,GB,1699,42%,33%,12%,5%,0%,4%,4%,–,–,1%,9%,2019
ICM Research,29 Nov–2 Dec,GB,2029,42%,35%,13%,3%,0%,2%,3%,–,–,1%,7%,2019
Kantar,28 Nov–2 Dec,GB,1096,44%,32%,15%,3%,1%,3%,2%,–,–,1%,12%,2019
Deltapoll/The Mail on Sunday,28–30 Nov,GB,1528,45%,32%,15%,3%,0%,1%,3%,0%,–,0%,13%,2019
Survation/Good Morning Britain,26–30 Nov,UK,1065,42%,33%,11%,3%,1%,4%,3%,–,–,3%,9%,2019
YouGov/The Sunday Times,28–29 Nov,GB,1680,43%,34%,13%,4%,0%,3%,2%,–,–,1%,9%,2019
Opinium/The Observer,27–29 Nov,GB,2018,46%,31%,13%,4%,0%,3%,2%,–,–,2%,15%,2019
BMG/The Independent,27–29 Nov,GB,1663,39%,33%,13%,4%,0%,5%,4%,0%,0%,1%,6%,2019
SavantaComRes/The Sunday Telegraph,27–28 Nov,GB,2025,43%,33%,13%,3%,–,3%,4%,–,–,1%,10%,2019
Panelbase,27–28 Nov,GB,2010,42%,34%,13%,3%,0%,3%,4%,–,–,1%,8%,2019
SavantaComRes/The Daily Telegraph,25–26 Nov,GB,2034,41%,34%,13%,3%,–,2%,5%,–,–,1%,7%,2019
YouGov/The Times/Sky News,25–26 Nov,GB,1678,43%,32%,13%,4%,0%,2%,4%,–,–,1%,11%,2019
ICM Research,22–25 Nov,GB,2004,41%,34%,13%,3%,1%,3%,4%,0%,–,1%,7%,2019
Kantar,21–25 Nov,GB,1097,43%,32%,14%,4%,0%,4%,3%,–,–,0%,11%,2019
Deltapoll/The Mail on Sunday,21–23 Nov,GB,1519,43%,30%,16%,4%,0%,3%,3%,–,–,0%,13%,2019
Survation/Good Morning Britain,20–23 Nov,UK,1010,41%,30%,15%,3%,1%,3%,5%,–,–,4%,11%,2019
YouGov/The Sunday Times,21–22 Nov,GB,1677,42%,30%,16%,4%,0%,4%,3%,–,–,1%,12%,2019
Opinium/The Observer,20–22 Nov,GB,2003,47%,28%,12%,5%,0%,3%,3%,–,–,2%,19%,2019
Panelbase,20–22 Nov,GB,2028,42%,32%,14%,3%,1%,3%,3%,–,–,2%,10%,2019
SavantaComRes/Sunday Express,20–21 Nov,GB,2038,42%,32%,15%,3%,0%,2%,5%,–,–,1%,10%,2019
BMG,19–21 Nov,GB,1663,41%,28%,18%,2%,0%,5%,3%,–,–,1%,13%,2019
YouGov,12–20 Nov,GB,11277,43%,29%,15%,4%,1%,3%,4%,–,–,2%,14%,2019
SavantaComRes/The Daily Telegraph,18–19 Nov,GB,1628,42%,31%,15%,4%,0%,2%,5%,–,–,1%,11%,2019
YouGov/The Times,18–19 Nov,GB,1606,42%,30%,15%,4%,0%,4%,4%,–,–,1%,12%,2019
Ipsos MORI/Evening Standard,15–19 Nov,GB,1128,44%,28%,16%,4%,1%,3%,3%,–,–,1%,16%,2019
YouGov,17–18 Nov,GB,1634,43%,29%,15%,4%,1%,3%,3%,–,–,3%,14%,2019
ICM Research,15–18 Nov,GB,2010,42%,32%,13%,3%,0%,3%,5%,–,–,2%,10%,2019
Kantar Archived 23 November 2019 at the Wayback Machine,14–18 Nov,GB,1176,45%,27%,16%,4%,1%,3%,2%,–,–,1%,18%,2019
Survation/Good Morning Britain,14–16 Nov,UK,1010,42%,28%,13%,3%,1%,3%,5%,–,–,4%,14%,2019
Deltapoll/The Mail on Sunday,14–16 Nov,GB,1526,45%,30%,11%,3%,0%,2%,6%,2%,0%,0%,15%,2019
,15 Nov,Nominations for candidates close (final candidates announced),Nominations for candidates close (final candidates announced),Nominations for candidates close (final candidates announced),Nominations for candidates close (final candidates announced),Nominations for candidates close (final candidates announced),Nominations for candidates close (final candidates announced),Nominations for candidates close (final candidates announced),Nominations for candidates close (final candidates announced),Nominations for candidates close (final candidates announced),Nominations for candidates close (final candidates announced),Nominations for candidates close (final candidates announced),Nominations for candidates close (final candidates announced),Nominations for candidates close (final candidates announced),2019
YouGov/The Sunday Times,14–15 Nov,GB,1670,45%,28%,15%,4%,0%,3%,4%,–,–,2%,17%,2019
Opinium/The Observer,13–15 Nov,GB,2008,44%,28%,14%,4%,1%,3%,6%,–,–,0%,16%,2019
BMG/The Independent,12–15 Nov,GB,1506,37%,29%,16%,2%,0%,5%,9%,–,–,0%,8%,2019
SavantaComRes/The Sunday Telegraph,13–14 Nov,GB,2052,41%,33%,14%,3%,0%,2%,5%,–,–,1%,8%,2019
Panelbase,13–14 Nov,GB,1021,43%,30%,15%,4%,0%,2%,5%,–,–,0%,13%,2019
SavantaComRes/The Daily Telegraph,11–12 Nov,GB,2022,40%,30%,16%,4%,0%,3%,7%,–,–,1%,10%,2019
YouGov/The Times/Sky News,11–12 Nov,GB,1619,42%,28%,15%,3%,1%,4%,4%,–,–,4%,14%,2019
ICM Research,8–11 Nov,GB,2035,39%,31%,15%,3%,0%,3%,8%,–,–,2%,8%,2019
Kantar,7–11 Nov,GB,1165,37%,27%,17%,3%,1%,3%,9%,1%,1%,1%,10%,2019
ComRes/Britain Elects,8–10 Nov,GB,2014,37%,29%,17%,4%,0%,3%,9%,–,–,1%,8%,2019
Deltapoll/The Mail on Sunday,6–9 Nov,GB,1518,41%,29%,16%,3%,0%,2%,6%,1%,0%,1%,12%,2019
YouGov/The Sunday Times,7–8 Nov,GB,1598,39%,26%,17%,4%,0%,4%,10%,–,–,0%,13%,2019
Survation,6–8 Nov,UK,2037,35%,29%,17%,4%,1%,1%,10%,–,–,3%,6%,2019
Opinium/The Observer,6–8 Nov,GB,2001,41%,29%,15%,5%,1%,2%,6%,–,–,0%,12%,2019
Panelbase,6–8 Nov,GB,1046,40%,30%,15%,4%,0%,3%,8%,–,–,0%,10%,2019
BMG/The Independent,5–8 Nov,GB,1504,37%,29%,16%,2%,0%,7%,9%,–,–,0%,8%,2019
YouGov/The Times/Sky,5–6 Nov,GB,1667,36%,25%,17%,4%,1%,5%,11%,–,–,1%,11%,2019
,6 Nov,Parliament dissolved and official campaign period begins,Parliament dissolved and official campaign period begins,Parliament dissolved and official campaign period begins,Parliament dissolved and official campaign period begins,Parliament dissolved and official campaign period begins,Parliament dissolved and official campaign period begins,Parliament dissolved and official campaign period begins,Parliament dissolved and official campaign period begins,Parliament dissolved and official campaign period begins,Parliament dissolved and official campaign period begins,Parliament dissolved and official campaign period begins,Parliament dissolved and official campaign period begins,Parliament dissolved and official campaign period begins,2019
ComRes/Remain United,30 Oct–5 Nov,GB,6097,36%,29%,17%,4%,1%,3%,11%,0%,0%,0%,7%,2019
YouGov/The Times,1–4 Nov,GB,3284,38%,25%,16%,4%,1%,5%,11%,0%,0%,0%,13%,2019
ICM Research/Reuters,1–4 Nov,GB,2047,38%,31%,15%,3%,0%,3%,9%,1%,0%,1%,7%,2019
Deltapoll/The Mail on Sunday,31 Oct–2 Nov,GB,1500,40%,28%,14%,3%,1%,2%,11%,1%,0%,0%,12%,2019
Opinium/The Observer Archived 3 November 2019 at the Wayback Machine,30 Oct–1 Nov,GB,2004,42%,26%,16%,4%,1%,2%,9%,0%,0%,1%,16%,2019
YouGov/The Sunday Times,30 Oct–1 Nov,GB,1834,39%,27%,16%,5%,1%,4%,7%,0%,0%,1%,12%,2019
ComRes/Sunday Express,30–31 Oct,GB,2032,36%,28%,17%,4%,0%,3%,10%,0%,0%,1%,8%,2019
ORB/The Sunday Telegraph,30–31 Oct,GB,2025,36%,28%,14%,5%,0%,4%,12%,0%,0%,1%,8%,2019
Panelbase,30–31 Oct,GB,1008,40%,29%,14%,3%,0%,3%,9%,0%,0%,1%,11%,2019
,30 Oct,The House of Commons votes for an early general election,The House of Commons votes for an early general election,The House of Commons votes for an early general election,The House of Commons votes for an early general election,The House of Commons votes for an early general election,The House of Commons votes for an early general election,The House of Commons votes for an early general election,The House of Commons votes for an early general election,The House of Commons votes for an early general election,The House of Commons votes for an early general election,The House of Commons votes for an early general election,The House of Commons votes for an early general election,The House of Commons votes for an early general election,2019
YouGov/The Times,29–30 Oct,GB,1750,36%,21%,18%,4%,1%,6%,13%,0%,0%,1%,15%,2019
Survation/Daily Mail,29–30 Oct,UK,1010,34%,26%,19%,4%,0%,1%,12%,0%,0%,4%,8%,2019
,29 Oct,Richard Braine resigns as leader of UKIP[8],Richard Braine resigns as leader of UKIP[8],Richard Braine resigns as leader of UKIP[8],Richard Braine resigns as leader of UKIP[8],Richard Braine resigns as leader of UKIP[8],Richard Braine resigns as leader of UKIP[8],Richard Braine resigns as leader of UKIP[8],Richard Braine resigns as leader of UKIP[8],Richard Braine resigns as leader of UKIP[8],Richard Braine resigns as leader of UKIP[8],Richard Braine resigns as leader of UKIP[8],Richard Braine resigns as leader of UKIP[8],Richard Braine resigns as leader of UKIP[8],2019
Ipsos MORI/Evening Standard,25–28 Oct,GB,1007,41%,24%,20%,4%,1%,3%,7%,0%,0%,0%,17%,2019
YouGov,17–28 Oct,GB,11590,36%,22%,19%,4%,1%,6%,12%,0%,0%,0%,14%,2019
YouGov/The Times,24–25 Oct,GB,1672,36%,23%,18%,4%,1%,6%,12%,0%,0%,0%,13%,2019
