dates,pollster,client,area,sample_size,conservative,labour,liberal_democrat,scottish_national_party,green,reform_uk,others,lead,year,brexit_party
21–22 Jun,Techne,,GB,1629,29%,45%,10%,3%,5%,5%,3%,16,2023,
14–20 Jun,Ipsos,Evening Standard,GB,1003,25%,47%,13%,4%,8%,2%,4%,22,2023,
16–19 Jun,Deltapoll,,GB,1554,27%,46%,10%,4%,6%,5%,.mw-parser-output .hidden-begin{box-sizing:border-box;width:100%;padding:5px;border:none;font-size:95%}.mw-parser-output .hidden-title{font-weight:bold;line-height:1.6;text-align:left}.mw-parser-output .hidden-content{text-align:left}1% Plaid Cymru on 0%Other on 1%,19,2023,
15–19 Jun,Survation,,UK,1007,29%,47%,11%,3%,3%,3%,4%,18,2023,
15–19 Jun,More In Common,,GB,1570,27%,46%,10%,4%,5%,6%,1% Plaid Cymru on 0%Other on 1%,19,2023,
18 Jun,Redfield & Wilton,,GB,2000,26%,46%,12%,3%,6%,7%,1%,20,2023,
16–18 Jun,Savanta,,GB,2196,28%,46%,11%,3%,3%,4%,5%,18,2023,
15–16 Jun,YouGov,The Times,GB,2072,24%,43%,11%,4%,8%,7%,2%,19,2023,
15–16 Jun,Omnisis,,GB,1306,26%,48%,10%,3%,6%,5%,TBC,22,2023,
14–15 Jun,Techne,,GB,1625,28%,44%,11%,3%,5%,6%,3%,16,2023,
9–12 Jun,Deltapoll,,GB,1084,31%,42%,12%,4%,4%,4%,2% Plaid Cymru on 0%Other on 2%,11,2023,
11 Jun,Redfield & Wilton,,GB,2000,30%,44%,13%,3%,4%,6%,1%,14,2023,
9–11 Jun,Savanta,,GB,2030,28%,45%,9%,4%,4%,6%,4%,17,2023,
2–11 Jun,YouGov,Times Radio,GB,9903,26%,44%,10%,4%,7%,7%,3%,18,2023,
7–9 Jun,Opinium,The Observer,GB,1561,29%,41%,11%,3%,7%,6%,2% UKIP on 2%Other on 0%,12,2023,
8–9 Jun,Omnisis,,GB,1296,27%,47%,10%,3%,5%,6%,TBC,20,2023,
7–8 Jun,Techne,,GB,1632,29%,42%,12%,3%,6%,5%,3%,13,2023,
6–7 Jun,YouGov,The Times,GB,2071,26%,42%,11%,4%,8%,7%,3% Plaid Cymru on 1%Other on 2%,16,2023,
2–5 Jun,Deltapoll,,GB,1525,29%,43%,13%,3%,5%,5%,3% UKIP on 2%Other on 1%,14,2023,
4 Jun,Redfield & Wilton,,GB,2000,30%,44%,12%,3%,5%,5%,1%,14,2023,
2–4 Jun,Savanta,,GB,2109,30%,44%,11%,3%,3%,5%,3%,14,2023,
1–2 Jun,Omnisis,,GB,1351,25%,46%,10%,3%,7%,6%,3%,21,2023,
31 May – 1 Jun,Techne,,GB,1630,29%,43%,12%,3%,6%,4%,3%,14,2023,
30–31 May,YouGov,The Times,GB,2000,25%,44%,11%,3%,7%,6%,3% Plaid Cymru on 1%Other on 2%,19,2023,
30–31 May,BMG,The i,GB,1529,27%,44%,10%,4%,7%,7%,2%,17,2023,
28 May,Redfield & Wilton,,GB,2000,28%,43%,12%,3%,7%,5%,3%,15,2023,
26–28 May,Savanta,,GB,2223,31%,44%,9%,3%,3%,5%,5%,13,2023,
25–26 May,YouGov,The Times,GB,2072,25%,43%,11%,4%,7%,7%,3% Plaid Cymru on 1%Other on 2%,18,2023,
25–26 May,Omnisis,,GB,1361,28%,47%,10%,3%,5%,5%,TBC,19,2023,
23–26 May,Opinium,The Observer,GB,2062,28%,43%,9%,3%,7%,6%,4% Plaid Cymru on 1%Other on 3%,15,2023,
24–25 May,Techne,,GB,1625,30%,44%,11%,3%,5%,4%,3%,14,2023,
19–22 May,Deltapoll,,GB,1575,30%,47%,9%,4%,4%,4%,1% UKIP on 1%Other on 0%,17,2023,
