date_started,date_concluded,pollster,client,area,sample_size,labour,conservative,reform_uk,liberal_democrat,green,alliance,brexit_party,change_uk,liberal,plaid_cymru,scottish_national_party,social_democratic_party,united_kingdom_independence_party,reclaim_party,others,lead,lead_value
2024-06-06,2024-06-08,Deltapoll,Mail on Sunday,GB,2010,46.0,21.0,12.0,9.0,5.0,,,,,,4.0,,,,0.0,lab+25.0,25.0
2024-06-05,2024-06-07,More in Common,,GB,2618,46.0,25.0,11.0,9.0,6.0,,,,,0.0,3.0,,,,1.0,lab+21.0,21.0
2024-06-06,2024-06-07,We Think,,GB,1198,45.0,20.0,15.0,10.0,5.0,,,,,1.0,3.0,,,,2.0,lab+25.0,25.0
2024-06-05,2024-06-07,Opinium,The Observer,GB,1471,42.0,24.0,12.0,10.0,7.0,,,,,,3.0,,,,2.0,lab+18.0,18.0
2024-06-05,2024-06-07,Savanta,The Telegraph,GB,2095,46.0,26.0,11.0,10.0,3.0,,,,,1.0,2.0,,,,2.0,lab+20.0,20.0
2024-06-05,2024-06-06,Redfield & Wilton Strategies,,GB,2000,42.0,19.0,17.0,12.0,6.0,,,,,0.0,3.0,,,,1.0,lab+23.0,23.0
2024-06-05,2024-06-06,YouGov,,GB,1650,41.0,19.0,16.0,11.0,7.0,,,,,1.0,3.0,,,,3.0,lab+22.0,22.0
2024-06-03,2024-06-06,FocalData,,GB,2077,44.0,25.0,14.0,9.0,5.0,,,,,,2.0,,,,2.0,lab+19.0,19.0
2024-06-05,2024-06-06,Whitestone Insight,,GB,2001,42.0,22.0,16.0,9.0,5.0,,,,,0.0,3.0,0.0,,,1.0,lab+20.0,20.0
2024-06-05,2024-06-06,Survation,,GB,1056,43.0,23.0,15.0,9.0,5.0,,,,,0.0,3.0,,,,2.0,lab+20.0,20.0
2024-06-05,2024-06-06,Techne UK,,GB,1645,44.0,20.0,15.0,10.0,6.0,,,,,,2.0,,,,3.0,lab+24.0,24.0
2024-06-04,2024-06-05,BMG Research,The i,GB,1534,42.0,23.0,16.0,9.0,6.0,,,,,,4.0,,,,1.0,lab+19.0,19.0
2024-06-04,2024-06-05,Norstat,,GB,1005,45.0,22.0,14.0,10.0,5.0,,,,,0.0,3.0,,,,1.0,lab+23.0,23.0
2024-05-31,2024-06-04,Ipsos,,GB,1014,43.0,23.0,9.0,8.0,9.0,,,,,1.0,5.0,,,,2.0,lab+20.0,20.0
2024-06-03,2024-06-04,YouGov,Sky News,GB,2144,40.0,19.0,17.0,10.0,7.0,,,,,1.0,3.0,,,,2.0,lab+21.0,21.0
2024-05-30,2024-06-03,Lord Ashcroft Polls,,GB,5203,47.0,23.0,11.0,6.0,6.0,,,,,1.0,2.0,,,,3.0,lab+24.0,24.0
